MKEMF032GT1E-C,,,,,,
pin,name,type,side,unit,style,hidden
A1,NC_1,passive,left,S40FC004C1B1I00000_1,line,yes
A2,NC_2,passive,left,S40FC004C1B1I00000_1,line,yes
A3,DAT0,passive,left,S40FC004C1B1I00000_1,line,no
A4,DAT1,passive,left,S40FC004C1B1I00000_1,line,no
A5,DAT2,passive,left,S40FC004C1B1I00000_1,line,no
A6,VSS_1,passive,left,S40FC004C1B1I00000_1,line,no
A7,RFU_1,passive,left,S40FC004C1B1I00000_1,line,no
A8,NC_3,passive,left,S40FC004C1B1I00000_1,line,yes
A9,NC_4,passive,left,S40FC004C1B1I00000_1,line,yes
A10,NC_5,passive,left,S40FC004C1B1I00000_1,line,yes
A11,NC_6,passive,left,S40FC004C1B1I00000_1,line,yes
A12,NC_7,passive,left,S40FC004C1B1I00000_1,line,yes
A13,NC_8,passive,left,S40FC004C1B1I00000_1,line,yes
A14,NC_9,passive,left,S40FC004C1B1I00000_1,line,yes
B1,NC_10,passive,left,S40FC004C1B1I00000_1,line,yes
B2,DAT3,passive,left,S40FC004C1B1I00000_1,line,no
B3,DAT4,passive,left,S40FC004C1B1I00000_1,line,no
B4,DAT5,passive,left,S40FC004C1B1I00000_1,line,no
B5,DAT6,passive,left,S40FC004C1B1I00000_1,line,no
B6,DAT7,passive,left,S40FC004C1B1I00000_1,line,no
B7,NC_11,passive,left,S40FC004C1B1I00000_1,line,yes
B8,NC_12,passive,left,S40FC004C1B1I00000_1,line,yes
B9,NC_13,passive,left,S40FC004C1B1I00000_1,line,yes
B10,NC_14,passive,left,S40FC004C1B1I00000_1,line,yes
B11,NC_15,passive,left,S40FC004C1B1I00000_1,line,yes
B12,NC_16,passive,left,S40FC004C1B1I00000_1,line,yes
B13,NC_17,passive,left,S40FC004C1B1I00000_1,line,yes
B14,NC_18,passive,left,S40FC004C1B1I00000_1,line,yes
C1,NC_19,passive,left,S40FC004C1B1I00000_1,line,yes
C2,VDDI,passive,left,S40FC004C1B1I00000_1,line,no
