Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C19, C20, C21, C27, C6, C8, C9",0603,11,10u,C96446
"C10, C16, C17, C18, C2, C22, C23, C24, C25, C26, C28, C29, C30, C31, C33, C36, C38, C39, C43, C44, C7",0402,21,100n,C15525
"C3, C4, C5",0402,3,33p,C1562
"C41, C42",0402,2,12p,C1547
D16,D_SMA,1,D,C14996
IC1,QFN-48-1EP_6x6mm_P0.4mm_EP4.4x4.4mm,1,RTL8305NB-VC-CG,C42939821
"J1, J2",DF40HC(3.0)-100DS-0.4V(51),2,DF40HC(3.0)-100DS-0.4V(51),C424649
J3,DF40HC(3.0)-100DS-0.4V(51)_mirrored,1,DF40HC(3.0)-100DS-0.4V(51),C424649
L1,SOP-40_L28.1-W12.2-P1.27-LS16.00-BL,1,350uH,H4001CG
"R10, R22, R24, R5, R7, R9",0402,6,510,C25123
"R11, R12, R14, R19, R4",0603,5,0,C21189
R13,0402,1,1.5k,C25867
R15,0402,1,51k,C25794
R16,0402,1,1k,C11702
R2,0402,1,15k,C25756
"R20, R21, R23, R8",0603,4,75,C4275
R3,0402,1,22,C25092
Y2,X322525MOB4SI,1,X322525MOB4SI,C9006
