Designator,Mid X,Mid Y,Rotation,Layer
C1,221.245,-88.921419,0,top
C10,222.2,-78.95,180,top
C11,221.625,-77.75,180,top
C12,200.7,-57.35,180,top
C13,165.325,-78.78,180,top
C16,214.995,-82.875,180,top
C17,211.9,-88.55,90,top
C18,202.725,-86.425,270,top
C19,215.835,-88.53,0,top
C2,199.77,-74.8,0,top
C20,221.7,-84.54,0,top
C21,216.575,-84.825,270,top
C22,203.4,-82.575,90,top
C23,206.6,-79.975,90,top
C24,211.305,-89.925,0,top
C25,203.625,-89.475,180,top
C26,208.6,-80.075,90,top
C27,215.835,-87.075,0,top
C28,212,-83.1,0,top
C29,207.3,-91.625,180,top
C3,196.78,-74.65,0,top
C30,200.92,-85.97,0,top
C31,200.92,-86.895,0,top
C33,204.325,-81.675,90,top
C36,213.63,-81.76,90,top
C38,182.43,-106.525,180,top
C39,181.78,-100.35,180,top
C4,197.8,-76.2,180,top
C41,209.705,-81.45,0,top
C42,212.155,-81.7,0,top
C43,181.4,-94.195,90,top
C44,182.43,-87.475,180,top
C5,195.2,-80.83,270,top
C6,221.7,-86,0,top
C7,218.84,-89.6,0,top
C8,171.34,-71.99,0,top
C9,174.2,-76.2,0,top
D16,224.635,-95.73338,0,bottom
IC1,207.83,-86.193581,0,top
J1,210,-60.995,180,top
J2,210,-94.995,180,top
J3,188.52,-78.095,270,top
L1,171.925,-97.025,90,top
R10,151.5,-87.465,180,top
R11,218.04,-86.718919,90,top
R12,219.495,-85.25,90,top
R13,218.835,-88.66,180,top
R14,215.11,-84.81,270,top
R15,199.79,-73.7,0,top
R16,181.2,-59.6,270,top
R19,213.65,-84.81,270,top
R2,196.8,-73.7,180,top
R20,161.5,-100.9,180,top
R21,161.4,-92.5,135,top
R22,151.5,-96.9,180,top
R23,161.4,-85,135,top
R24,150.2,-107.7,90,top
R3,222.11,-80.35,0,top
R4,220.2475,-87.46,180,top
R5,177.6,-59.8,270,top
R7,184.1,-59.6,90,top
R8,162.2,-106.4,270,top
R9,151.5,-78,180,top
Y2,211.697536,-78,270,top
