Designator,Mid X,Mid Y,Rotation,Layer
C1,221.245,-88.921419,0.0,top
C10,222.2,-78.95,180.0,top
C11,221.625,-77.75,180.0,top
C12,200.7,-57.35,180.0,top
C13,165.325,-78.78,180.0,top
C16,214.995,-82.875,180.0,top
C17,211.9,-88.55,90.0,top
C18,202.725,-86.425,270.0,top
C19,215.835,-88.53,0.0,top
C2,199.77,-74.8,0.0,top
C20,221.7,-84.54,0.0,top
C21,216.575,-84.825,270.0,top
C22,203.4,-82.575,90.0,top
C23,206.6,-79.975,90.0,top
C24,211.305,-89.925,0.0,top
C25,204.37,-89.9,180.0,top
C26,208.6,-80.075,90.0,top
C27,215.835,-87.075,0.0,top
C28,212.0,-83.1,0.0,top
C29,207.45,-91.85,180.0,top
C3,196.78,-74.65,0.0,top
C30,200.92,-85.97,0.0,top
C31,200.92,-86.895,0.0,top
C33,204.325,-81.675,90.0,top
C36,213.63,-81.76,90.0,top
C38,162.4,-106.32,270.0,top
C39,163.18,-99.3,180.0,top
C4,197.8,-76.2,180.0,top
C41,209.705,-81.45,0.0,top
C42,212.155,-81.7,0.0,top
C43,182.5,-106.12,270.0,top
C44,183.77,-99.02,90.0,top
C45,210.26,-106.56,270.0,top
C46,209.67,-100.25,180.0,top
C47,230.28,-107.04,270.0,top
C48,231.58,-99.61,90.0,top
C5,195.2,-80.83,270.0,top
C6,221.7,-86.0,0.0,top
C7,218.84,-89.6,0.0,top
C8,171.34,-71.99,0.0,top
C9,174.2,-76.2,0.0,top
IC1,207.83,-86.193581,0.0,top
J1,210.0,-61.0,180.0,top
J2,210.0,-95.2,180.0,top
J3,188.4,-78.0,270.0,top
LED1,184.0375,-57.6,0.0,top
LED2,176.6,-57.6,180.0,top
LED6,180.3125,-57.4,180.0,top
R10,231.11,-112.6,0.0,top
R11,218.04,-86.718919,90.0,top
R12,219.495,-85.25,90.0,top
R13,218.835,-88.66,180.0,top
R14,215.11,-84.81,270.0,top
R15,199.79,-73.7,0.0,top
R16,181.2,-59.2,270.0,top
R19,213.65,-84.81,270.0,top
R2,196.8,-73.7,180.0,top
R22,173.49,-113.0,180.0,top
R3,222.11,-80.35,0.0,top
R4,220.2475,-87.46,180.0,top
R5,177.6,-59.8,270.0,top
R7,182.6,-59.6,90.0,top
R8,197.1,-112.1,270.0,top
R9,220.91,-111.16,270.0,top
Y2,211.697536,-78.0,270.0,top
